INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
20136004003,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/28/2013 0:04,4/28/2013 0:04,4/29/2013 10:09,700 BLK N JACKSON ST,3156666,1690734,-104.9429976,39.7285495,3,311,congress-park
2013189873,2.01319E+15,2303,0,theft-shoplift,larceny,4/29/2013 11:55,,4/29/2013 13:02,2810 N QUEBEC ST,3168173,1701026,-104.9018464,39.7566019,2,232,stapleton
2013711509,2.01371E+15,5203,0,weapon-carrying-prohibited,all-other-crimes,4/29/2013 13:25,,4/29/2013 16:19,1499 N BROADWAY ST,3144131,1694648,-104.9874844,39.7394967,6,616,civic-center
20136004006,2.0136E+16,2399,0,theft-other,larceny,4/29/2013 10:30,4/29/2013 10:30,4/29/2013 10:43,2791 W IRVINGTON PL,3134303,1686689,-105.0225799,39.7177947,4,412,valverde
20136003840,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/24/2013 3:30,4/24/2013 9:30,4/24/2013 9:33,7415 E 41ST AVE,3167983,1708063,-104.9023575,39.7759229,2,235,stapleton
2013190326,2.01319E+15,2399,0,theft-other,larceny,4/29/2013 12:59,4/29/2013 15:00,4/29/2013 22:12,455O W 9TH AVE,3142451,1691395,-104.9935227,39.7305925,6,617,lincoln-park
20136003997,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/29/2013 2:00,4/29/2013 6:59,4/29/2013 8:54,900 BLK N JACKSON ST,3156602,1691777,-104.9432024,39.7314138,3,311,congress-park
20136003992,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/28/2013 3:30,4/29/2013 3:45,4/29/2013 6:43,1900 BLK W 32ND AVE,3137550,1702751,-105.0107302,39.7618405,1,116,highland
2013190112,2.01319E+15,2399,0,theft-other,larceny,4/29/2013 14:00,4/29/2013 14:19,4/29/2013 14:19,,3136033,1702899,-105.0161233,39.762269,1,116,highland
2013189013,2.01319E+15,2399,1,theft-bicycle,larceny,4/25/2013 17:00,4/25/2013 21:59,4/28/2013 21:45,1051 14TH ST,3141332,1696905,-104.9973928,39.7457355,6,624,cbd
